X,Y,OBJECTID,SysSchool,GradeRange,SchoolAddress,SchoolCity,STATE,SchoolZipCode,MailAddress,MailCity,MailZipCode,PrincipalName,PrincipalEmail,SchoolPhone,SchoolFax,longitude,latitude,Year,SchoolYear,SystemID,SystemName,SchoolID,SchoolName,Type,ENROLLMENT_COUNT,Churn,TeacherCount,AvgExp,pYrsLt1,pYears1_10,pYears11_20,pYears21_30,pYearsGt30
-84.34428207,31.3117429,15,6040105,PK-12,260 Ga Highway 37 SW,Newton,GA,39870-8212,260 Ga Highway 37 SW,Newton,39870-8212,"Best, Michael", ,229.734.5274,229.734.3071,-84.344278,31.311737,2019,2018-19,604,Baker County,105,Baker County K12 School,K12,271,22,30,14,3,43,23,23,7
-83.26674584,33.08344133,16,6050100,8-Jun,356 Blandy Rd NW,Milledgeville,GA,31061-8927,356 Blandy Rd NW,Milledgeville,31061-8927,"Ray, Daymond", ,478.457.3370,478.457.2422,-83.266742,33.083435,2019,2018-19,605,Baldwin County,100,Oak Hill MS,Middle School,1162,10,70,13,3,39,37,21,0
-83.25845284,33.07207433,17,6050189,12-Sep,155 Ga Highway 49 W,Milledgeville,GA,31061-3600,155 Ga Highway 49 W,Milledgeville,31061-3600,"Flanders, Jason", ,478.453.6429, ,-83.258449,33.072068,2019,2018-19,605,Baldwin County,189,Baldwin High School,High School,1204,12,73,13,3,40,32,19,7
-83.26406484,33.09038333,18,6050300,5-Mar,220 N Abc Dr,Milledgeville,GA,31061-1500,220 N Abc Dr,Milledgeville,31061-1500,"Holder, Shawne", ,478.457.2967, ,-83.264061,33.090377,2019,2018-19,605,Baldwin County,300,Lakeview Academy,Elementary School,680,15,36,13,3,44,33,17,3
-83.27148585,33.07976433,19,6050301,KK-02,375 Blandy Rd NW,Milledgeville,GA,31061-8926,375 Blandy Rd NW,Milledgeville,31061-8926,"Burney, Tara", ,478.457.2495, ,-83.271482,33.079758,2019,2018-19,605,Baldwin County,301,Midway Hills Primary,Elementary School,558,14,35,16,9,20,26,40,6
-83.26865584,33.08036533,20,6050302,PK-02,372 Blandy Rd NW,Milledgeville,GA,31061-8927,372 Blandy Rd NW,Milledgeville,31061-8927,"Clark, Tracy", ,478.457.3301, ,-83.268652,33.080359,2019,2018-19,605,Baldwin County,302,Lakeview Primary,Elementary School,687,12,48,15,2,31,33,33,0
-83.22668883,33.01868832,21,6050303,5-Mar,101 Carl Vinson Rd SE,Milledgeville,GA,31061-9781,101 Carl Vinson Rd SE,Milledgeville,31061-9781,"Ingram, Antonio", ,478.457.2440, ,-83.226685,33.018682,2019,2018-19,605,Baldwin County,303,Midway Hills Academy,Elementary School,564,14,41,14,5,29,37,27,2
-83.47854197,34.31281359,22,6060105,8-Jun,712 Thompson St,Homer,GA,30547-3116,712 Thompson St,Homer,30547-3116,"Boyle, Michael", ,706.677.2277,706.677.5227,-83.478538,34.312807,2019,2018-19,606,Banks County,105,Banks County Middle School,Middle School,695,14,43,15,2,30,40,26,2
-83.50799598,34.33036759,23,6060107,5-Mar,180 Highway 51 S,Homer,GA,30547-2529,180 Highway 51 S,Homer,30547-2529,"Bentley, Nancy",nbentley@banks.k12.ga.us,706.677.2308, ,-83.507992,34.330361,2019,2018-19,606,Banks County,107,Banks County Elementary School,Elementary School,606,10,47,16,0,30,32,32,6
-83.49855097,34.30864759,24,6060199,12-Sep,1486A Historic Homer Hwy,Homer,GA,30547-3112,P.O. Box 277,Homer,30547,"Bray, Christine",cebray@banks.k12.ga.us,706.677.2221,706.677.2688,-83.498547,34.308641,2019,2018-19,606,Banks County,199,Banks County High School,High School,843,14,68,14,3,35,34,27,2
-83.51007898,34.33033759,25,6060205,PK-02,266 Highway 51 S,Homer,GA,30547-2514,266 Highway 51 S,Homer,30547-2514,"Dale, Amanda", ,706.677.2355,706.677.4797,-83.510075,34.330331,2019,2018-19,606,Banks County,205,Banks County Primary School,Elementary School,594,16,47,14,2,28,53,17,0
-83.78551104,33.9483685,26,6070101,12-Sep,940 Haymon Morris Rd,Winder,GA,30680-7889,940 Haymon Morris Rd,Winder,30680-7889,"Martin, Jennifer",jennifer.martin@barrow.k12.ga.us,770.586.5111,770.586.5905,-83.785507,33.948362,2019,2018-19,607,Barrow County,101,Apalachee High School,High School,1887,11,112,11,8,35,41,15,1
-83.73865203,34.02625952,27,6070105,PK-05,334 Rockwell Church Rd NW,Winder,GA,30680-2923,334 Rockwell Church Rd NW,Winder,30680-2923,"Bresson, Diane", ,770.867.2902,770.867.8942,-83.738648,34.026253,2019,2018-19,607,Barrow County,105,County Line Elementary School,Elementary School,521,15,45,16,4,29,31,31,4
-83.78929104,33.9476455,28,6070106,8-Jun,1008 Haymon Morris Rd,Winder,GA,30680-7840,1008 Haymon Morris Rd,Winder,30680-7840,"Bowen, James Barrett", ,678.963.0602,770.867.1854,-83.789287,33.947639,2019,2018-19,607,Barrow County,106,Haymon-Morris Middle School,Middle School,851,11,58,13,7,38,33,19,3
-83.58818198,33.96914551,29,6070114,8-Jun,228 Jefferson St,Statham,GA,30666-1707,228 Jefferson St,Statham,30666-1707,"Carter, Lauren", ,770.867.2116, ,-83.588178,33.969139,2019,2018-19,607,Barrow County,114,Bear Creek Middle School,Middle School,751,13,55,12,4,36,47,13,0
-83.75867403,33.97652351,30,6070189,PK-05,200 Matthews School Rd,Winder,GA,30680-3984,200 Matthews School Rd,Winder,30680-3984,"Butcher, Ryan", ,770.867.3182,770.307.4532,-83.75867,33.976517,2019,2018-19,607,Barrow County,189,Kennedy Elementary School,Elementary School,840,12,64,13,3,47,31,16,3
-83.80919005,34.03808352,31,6070193,PK-05,622 Freeman Brock Rd,Auburn,GA,30011-2610,622 Freeman Brock Rd,Auburn,30011-2610,"Gresham Dowis, Karen",karen.gresham-dowis@barrow.k12.ga.us,770.307.1627,770.868.1442,-83.809186,34.038077,2019,2018-19,607,Barrow County,193,Bramlett Elementary School,Elementary School,662,9,49,17,2,14,49,29,6
-83.76152203,33.97814651,32,6070198,8-Jun,240 Matthews School Rd,Winder,GA,30680-3984,240 Matthews School Rd,Winder,30680-3984,"Smith, Albert", ,770.307.2972,770.307.2976,-83.761518,33.97814,2019,2018-19,607,Barrow County,198,Westside Middle School,Middle School,788,13,55,11,2,51,38,7,2
-83.71917202,33.9224415,33,6070205,PK-05,47 McElhannon Rd SW,Bethlehem,GA,30620-2717,47 McElhannon Rd SW,Bethlehem,30620-2717,"Reid, Mindy", ,770.867.2238,770.307.0529,-83.719168,33.922435,2019,2018-19,607,Barrow County,205,Bethlehem Elementary School,Elementary School,714,13,56,13,5,41,27,23,4
-83.72334702,33.99700151,34,6070289,8-Jun,364 W Candler St,Winder,GA,30680-1737,364 W Candler St,Winder,30680-1737,"Wages, Meridith",meridith.wages@barrow.k12.ga.us,770.867.8181,7708681215,-83.723343,33.996995,2019,2018-19,607,Barrow County,289,Russell Middle School,Middle School,978,11,65,11,8,54,26,9,3
-83.78991504,33.9496915,35,6070298,PK-05,1000 Haymon Morris Rd,Winder,GA,30680-7840,1000 Haymon Morris Rd,Winder,30680-7840,"Smith , Susan",susan.smith@barrow.k12.ga.us,770.867.1147,770.867.1214,-83.789911,33.949685,2019,2018-19,607,Barrow County,298,Yargo Elementary School,Elementary School,806,11,60,16,3,27,37,32,2
-83.73655803,34.00315251,36,6070299,PK-05,194 McNeal Rd,Winder,GA,30680-1723,194 McNeal Rd,Winder,30680-1723,"Stapleton, Jerry", ,678.425.2194, ,-83.736554,34.003146,2019,2018-19,607,Barrow County,299,Winder Elementary School,Elementary School,622,19,52,10,4,62,25,8,2
-83.82435005,34.00964551,37,6071050,PK-05,1334 6th Ave,Auburn,GA,30011-3281,1334 6th Ave,Auburn,30011-3281,"Hodges, Julia",julia.hodges@barrow.k12.ga.us,770.963.7887,770.963.2923,-83.824346,34.009639,2019,2018-19,607,Barrow County,1050,Auburn Elementary School,Elementary School,630,18,55,12,6,42,35,18,0
-83.72800703,34.00514551,38,6073052,12-Sep,272 N 5th Ave,Winder,GA,30680-4501,272 N 5th Ave,Winder,30680-4501,"Darby, Al", ,770.867.4519,770.867.6412,-83.728003,34.005139,2019,2018-19,607,Barrow County,3052,Winder-Barrow High School,High School,2075,10,118,13,5,41,35,16,3
-83.68707701,34.01467252,39,6074050,PK-05,445 Holsenbeck School Rd,Winder,GA,30680-3749,445 Holsenbeck School Rd,Winder,30680-3749,"Robinson, Jackie",jrobinson@barrow.k12.ga.us,770.307.1540,770.307.1255,-83.687073,34.014666,2019,2018-19,607,Barrow County,4050,Holsenbeck Elementary School,Elementary School,698,12,56,12,18,29,27,23,4
-83.59157998,33.96475851,40,6075050,PK-05,1970 Broad St,Statham,GA,30666-1700,1970 Broad St,Statham,30666-1700,"Williams, Shawn",shawn.williams@barrow.k12.ga.us,770.725.7112,770.725.1550,-83.591576,33.964752,2019,2018-19,607,Barrow County,5050,Statham Elementary School,Elementary School,745,10,61,15,3,30,44,18,5
-84.92861038,34.1460585,41,6080101,8-Jun,1061 Euharlee Rd,Euharlee,GA,30145-2807,1061 Euharlee Rd,Euharlee,30145-2807,"Blankenship, Michael",michael.blankenship@bartow.k12.ga.us,770.606.5871,770.606.2092,-84.928606,34.146052,2019,2018-19,608,Bartow County,101,Woodland Middle School at Euharlee,Middle School,717,12,45,14,0,44,31,22,2
-84.86685537,34.28812353,42,6080104,PK-05,50 Pleasant Valley Rd NW,Cartersville,GA,30121-4337,50 Pleasant Valley Rd NW,Cartersville,30121-4337,"Wade, Kelly",kelly.wade@bartow.k12.ga.us,770.606.5403,770.386.4450,-84.866851,34.288117,2019,2018-19,608,Bartow County,104,Clear Creek Elementary School,Elementary School,572,18,44,15,2,30,43,21,5
-84.91772539,34.33918454,43,6080105,12-Sep,519 Old Highway 41 NW,Adairsville,GA,30103-5346,519 Old Highway 41 NW,Adairsville,30103-5346,"Mulkey, Bruce",bruce.mulkey@bartow.k12.ga.us,770.606.4151,770.773.2722,-84.917721,34.339178,2019,2018-19,608,Bartow County,105,Adairsville High School,High School,977,10,59,16,2,25,41,32,0
-84.74877234,34.34120955,44,6080106,PK-05,1095 Cass Pine Log Rd,Rydal,GA,30171-1407,1095 Cass Pine Log Rd,Rydal,30171-1407,"Alford, Tracey",tracey.alford@bartow.k12.ga.us,770.606.5864, ,-84.748768,34.341203,2019,2018-19,608,Bartow County,106,Pine Log Elementary,Elementary School,367,13,32,14,3,22,59,16,0
-84.92807238,34.1502215,45,6080107,PK-05,1058 Euharlee Rd,Euharlee,GA,30145-2806,1058 Euharlee Rd,Euharlee,30145-2806,"Bishop, Jim",james.bishop@bartow.k12.ga.us,770.606.5872,678.721.4266,-84.928068,34.150215,2019,2018-19,608,Bartow County,107,Euharlee Elementary School,Elementary School,416,14,39,16,0,23,54,18,5
-84.76233534,34.28176953,46,6080114,12-Sep,1000 Colonel Way NE,White,GA,30184-2619,1000 Colonel Way NE,White,30184-2619,"Revard, Stephen", ,770.606.5800, ,-84.762331,34.281763,2019,2018-19,608,Bartow County,114,Cass High School,High School,1518,13,81,15,1,28,43,26,1
-84.74395033,34.20417452,47,6080115,PK-05,291 Highway 20 Spur,Cartersville,GA,30121,291 Highway 20 Spur,Cartersville,30121,"Barge, Evie",evie.barge@bartow.k12.ga.us,770.606.5847, ,-84.743946,34.204168,2019,2018-19,608,Bartow County,115,Cloverleaf Elementary,Elementary School,628,24,55,14,4,38,40,15,4
-84.76291534,34.27835353,48,6080175,PK-05,505 Colonel Way,White,GA,30184-2614,505 Colonel Way,White,30184-2614,"Heater, Amy",amy.heater@bartow.k12.ga.us,770.606.5869,770.606.3876,-84.762911,34.278347,2019,2018-19,608,Bartow County,175,White Elementary School,Elementary School,523,18,39,13,0,46,36,18,0
-84.9380134,34.36930255,49,6080177,PK-05,118 N Franklin St,Adairsville,GA,30103,118 N Franklin St,Adairsville,30103,"Zarefoss, Melissa",melissa.zarefoss@bartow.k12.ga.us,770.606.5840,770.773.7755,-84.938009,34.369296,2019,2018-19,608,Bartow County,177,Adairsville Elementary School,Elementary School,668,11,49,14,0,35,49,14,2
-84.87979837,34.1619105,50,6080186,PK-05,1100 Mission Rd SW,Cartersville,GA,30120-5779,1100 Mission Rd SW,Cartersville,30120-5779,"Hughes, Sherrie",sherrie.hughes@bartow.k12.ga.us,770.606.5863,770.606.3862,-84.879794,34.161904,2019,2018-19,608,Bartow County,186,Mission Road Elementary School,Elementary School,442,12,33,17,0,24,33,33,9
-84.76498233,34.1209005,51,6080190,8-Jun,224 Old Alabama Rd SE,Emerson,GA,30137-2910,224 Old Alabama Rd SE,Emerson,30137-2910,"Dickey, Wes",wes.dickey@bartow.k12.ga.us,770.606.5865,770.606.3872,-84.764978,34.120894,2019,2018-19,608,Bartow County,190,Red Top Middle School,Middle School,626,28,40,15,3,35,30,30,3
-84.86925037,34.23988552,52,6080195,8-Jun,195 Fire Tower Rd NW,Cartersville,GA,30120-4648,195 Fire Tower Rd NW,Cartersville,30120-4648,"Arnold, Kristy",kristy.arnold@bartow.k12.ga.us,770.606.5846,770.606.3835,-84.869246,34.239879,2019,2018-19,608,Bartow County,195,Cass Middle School,Middle School,978,16,58,14,9,31,35,24,2
-84.6696533,34.1177385,53,6080196,PK-05,4150 New Hope Church Rd SE,Acworth,GA,30102-2726,"4150 New Hope Church Road, NW",Acworth,30101,"Marley, Teri",teri.marley@bartow.k12.ga.us,770.606.5843,770.975.4173,-84.669649,34.117732,2019,2018-19,608,Bartow County,196,Allatoona Elementary School,Elementary School,415,20,34,12,9,35,41,15,0
-84.83274135,34.1193405,54,6080198,12-Sep,800 Old Alabama Rd SE,Cartersville,GA,30120-6883,800 Old Alabama Rd SE,Cartersville,30120-6883,"Stephenson, David",david.stephenson@bartow.k12.ga.us,770.606.5870,770.606.2080,-84.832737,34.119334,2019,2018-19,608,Bartow County,198,Woodland High School,High School,1511,12,82,18,4,17,40,34,5
-84.93561839,34.21370751,55,6080296,PK-05,240 Hardin Bridge Rd,Kingston,GA,30145-2668,240 Hardin Bridge Rd,Kingston,30145-2668,"Johnson, Philena",philena.johnson@bartow.k12.ga.us,770.606.5850,770.336.5591,-84.935614,34.213701,2019,2018-19,608,Bartow County,296,Kingston Elementary School,Elementary School,460,27,42,14,7,31,38,19,5
-84.91541039,34.33424954,56,6080301,8-Jun,485 Old Highway 41 NW,Adairsville,GA,30103-5387,485 Old Highway 41 NW,Adairsville,30103-5387,"Stanfill, Tony",tony.stanfill@bartow.k12.ga.us,770.606.5842,7707739260,-84.915406,34.334243,2019,2018-19,608,Bartow County,301,Adairsville Middle School,Middle School,786,12,45,14,4,31,42,22,0
-84.86603737,34.23926952,57,6080377,PK-05,116 Hamilton Crossing Rd NW,Cartersville,GA,30120-4884,116 Hamilton Crossing Rd NW,Cartersville,30120-4884,"Robertson, Lynn",lynn.robertson@bartow.k12.ga.us,770.606.5849,7706063852,-84.866033,34.239263,2019,2018-19,608,Bartow County,377,Hamilton Crossing Elementary School,Elementary School,526,15,45,14,7,33,29,31,0
-84.94090638,34.10968449,58,6080396,PK-05,1502 Old Alabama Rd,Taylorsville,GA,30178-1505,1502 Old Alabama Rd,Taylorsville,30178-1505,"Miller, Jennifer",jennifer.miller@bartow.k12.ga.us,770.606.5867,770.606.2056,-84.940902,34.109678,2019,2018-19,608,Bartow County,396,Taylorsville Elementary School,Elementary School,476,13,37,15,0,30,35,35,0
-84.76182033,34.1223775,59,6082052,PK-05,220 Old Alabama Rd SE,Emerson,GA,30137-2910,220 Old Alabama Rd SE,Emerson,30137-2910,"Mulkey, Tracy",tracy.mulkey@bartow.k12.ga.us,770.606.5848,7706063847,-84.761816,34.122371,2019,2018-19,608,Bartow County,2052,Emerson Elementary School,Elementary School,367,29,36,16,3,28,42,22,6
-83.25946478,31.74240303,60,6090111,5-Mar,328 Lobinger Ave,Fitzgerald,GA,31750-8124,328 Lobinger Ave,Fitzgerald,31750-8124,"Webb, Bennie",bennie.webb@benhillschools.org,229.409.5586, ,-83.259461,31.742397,2019,2018-19,609,Ben Hill County,111,Ben Hill Elementary School,Elementary School,722,14,47,13,4,36,38,19,2
-83.25574678,31.76558604,61,6090196,PK-02,221 Jc Hunter Rd,Fitzgerald,GA,31750-6924,221 Jc Hunter Rd,Fitzgerald,31750-6924,"Harmon, Isom",isom.harmon@benhillschools.org,229.409.5592,2294095595,-83.255743,31.76558,2019,2018-19,609,Ben Hill County,196,Ben Hill County Primary School,Elementary School,672,11,57,19,2,28,25,33,12
-83.26105478,31.70901103,62,6090291,12-Sep,601 W Cypress St,Fitzgerald,GA,31750-3265,601 W Cypress St,Fitzgerald,31750-3265,"Sirmans, James",james.sirmans@benhillschools.org,229.409.5530,229.409.5534,-83.261051,31.709005,2019,2018-19,609,Ben Hill County,291,Fitzgerald High School,High School,824,9,56,17,5,18,36,36,5
-83.25940978,31.76057304,63,6090296,8-Jun,134 Jc Hunter Rd,Fitzgerald,GA,31750-6901,134 Jc Hunter Rd,Fitzgerald,31750-6901,"Sims, David",david.sims@benhillschools.org,229.409.5578,2294095580,-83.259406,31.760567,2019,2018-19,609,Ben Hill County,296,Ben Hill County Middle School,Middle School,728,12,50,17,4,30,26,30,10
-83.25982178,31.74112203,64,6090392,12-Sep,120 Turk Ct,Fitzgerald,GA,31750-0000,120 Turk Ct,Fitzgerald,31750-0000,"Barnes, Tracy McCray", ,229.409.5510, ,-83.259818,31.741116,2019,2018-19,609,Ben Hill County,392,Hurricane Transition Academy,High School,,,,,,,,,
-83.24464375,31.21851092,65,6100101,12-Sep,500 E Smith Ave,Nashville,GA,31639-1258,500 E Smith Ave,Nashville,31639-1258,"Lovein, Angie",alovein@berrien.k12.ga.us,229.686.7428,229.686.6251,-83.24464,31.218505,2019,2018-19,610,Berrien County,101,Berrien High School,High School,804,11,55,16,2,27,36,31,4
-83.26705876,31.19404391,66,6100106,12-Sep,1015 Exum Rd,Nashville,GA,31639-2730,P.O. Box 622,Nashville,31639,"Garner, Michele",michele.garner@berrien.k12.ga.us,229.686.6576,229.686.65,-83.267055,31.194038,2019,2018-19,610,Berrien County,106,Berrien Academy Performance Learning Center,High School,66,36,5,13,0,20,80,0,0
-83.26161576,31.21182991,67,6100194,8-Jun,800 Tifton Hwy,Nashville,GA,31639-8704,800 Tifton Hwy,Nashville,31639-8704,"Mathis, Margo",margo.mathis@berrien.k12.ga.us,229.686.2021,229.686.6546,-83.261612,31.211824,2019,2018-19,610,Berrien County,194,Berrien Middle School,Middle School,761,13,50,14,4,36,30,26,4
-83.26390176,31.21225591,68,6100195,5-Mar,802 Middle School Cir,Nashville,GA,31639-5656,802 Middle School Circle,Nashville,31639-1703,"West, Belinda",tim.hughes@berrien.k12.ga.us,229.686.2939,229.686.5500,-83.263898,31.21225,2019,2018-19,610,Berrien County,195,Berrien Elementary School,Elementary School,698,14,49,14,8,37,25,27,4
-83.24473475,31.23460792,69,6105050,PK-02,1427 N Davis St,Nashville,GA,31639-3926,1427 N Davis St,Nashville,31639-3926,"Cornelius, Nicole",nicole.richbourg@berrien.k12.ga.us,229.686.7438,229.686.6211,-83.244731,31.234602,2019,2018-19,610,Berrien County,5050,Berrien Primary School,Elementary School,681,20,56,16,5,30,27,32,5
-83.75757097,32.75104124,70,6110103,PK-05,5700 Fulton Mill Rd,Lizella,GA,31052-5112,5700 Fulton Mill Rd,Lizella,31052-5112,",",Sara.Carlson@bcsdk12.old,478.779.3956,478.784.6918,-83.757567,32.751035,2019,2018-19,611,Bibb County,103,Skyview Elementary School,Elementary School,415,15,32,18,3,22,28,41,6
-83.61322893,32.85317027,71,6110104,PK-05,972 Fort Hill St,Macon,GA,31217-6404,972 Fort Hill St,Macon,31217-6404,"Allen, Tanya",tgallen.Burdell@bibb.k12.ga.us,478.779.2937,478.752.5227,-83.613225,32.853164,2019,2018-19,611,Bibb County,104,Burdell Elementary School,Elementary School,453,21,38,16,3,29,42,16,11
-83.77269798,32.90337627,72,6110105,12-Sep,6400 Forsyth Rd,Macon,GA,31210-1424,6400 Forsyth Rd,Macon,31210-1424,"Smith, LaToya",Latoya.Smith@bcsdk12.net,478.779.7852, ,-83.772694,32.90337,2019,2018-19,611,Bibb County,105,Howard High School,High School,1200,18,72,12,11,39,28,19,3
-83.65792994,32.81899626,73,6110108,8-Jun,1070 Anthony Rd,Macon,GA,31204-6210,1070 Anthony Rd,Macon,31204-6210,"Pennamon, Latrina",Latrina.Pennamon@bcsdk12.net,478.779.3390, ,-83.657926,32.81899,2019,2018-19,611,Bibb County,108,Ballard Hudson Middle School,Middle School,701,27,46,6,33,46,13,9,0
-83.65160194,32.79883726,74,6110109,PK-05,3660 Houston Ave,Macon,GA,31206-2414,3660 Houston Ave,Macon,31206-2414,"James, Angela",Angela.James@bcsdk12.net,478.779.4558, ,-83.651598,32.798831,2019,2018-19,611,Bibb County,109,Bruce Elementary School,Elementary School,389,41,28,9,18,43,25,11,4
-83.65659094,32.83676426,75,6110186,12-Sep,2155 Napier Ave,Macon,GA,31204-3655,2155 Napier Ave,Macon,31204-3655,"Frazier, Emanuel M",Emanuel.Frazier@bcsdk12.net,478.779.2292,478.751.6834,-83.656587,32.836758,2019,2018-19,611,Bibb County,186,Central High School,High School,1044,19,65,9,12,48,28,9,3
-83.74715297,32.81577926,76,6110198,12-Sep,2851 Heath Rd,Macon,GA,31206-5266,2851 Heath Rd,Macon,31206-5266,"Horton, Jr., Michael",Michael.HortonJr@bcsdk12.net,478.779.3800,478.757.5525,-83.747149,32.815773,2019,2018-19,611,Bibb County,198,Westside High School,High School,1161,23,67,9,16,39,31,10,3
-83.65538695,32.84483427,77,6110203,PK-05,2260 Vineville Ave,Macon,GA,31204-3116,2260 Vineville Ave,Macon,31204-3116,"Graham, Kristy",kgraham.VINEACAD@bibb.k12.ga.us,478.779.3226,478.621.2752,-83.655383,32.844828,2019,2018-19,611,Bibb County,203,Vineville Academy,Elementary School,512,2,36,15,11,31,25,19,14
-83.71459096,32.73709424,78,6110204,12-Sep,6250 Skipper Rd,Macon,GA,31216-6104,6250 Skipper Rd,Macon,31216-6104,"Pooler, Wendy",Wendy.Pooler@bcsdk12.net,478.779.3041,478.784.5462,-83.714587,32.737088,2019,2018-19,611,Bibb County,204,Rutland High School,High School,948,19,60,15,2,23,55,17,3
-83.77250998,32.90461727,79,6110205,8-Jun,6600 Forsyth Rd,Macon,GA,31210-7231,6600 Forsyth Rd,Macon,31210-7231,"Adams, Kevin",Kevin.Adams@bcsdk12.net,478.779.3454,478.757.5557,-83.772506,32.904611,2019,2018-19,611,Bibb County,205,Howard Middle School,Middle School,1009,21,59,12,10,34,37,15,3
